Organisational Family,Organisation,Category,Service Type, Price 
"Department for Children, Schools and Families",Partnerships for Schools,Operational Goods,Domestic Goods, £-   
"Department for Children, Schools and Families",Partnerships for Schools,Operational Goods,Environmental Materials, £-   
"Department for Children, Schools and Families",Partnerships for Schools,Operational Goods,Learning & Development Materials, £-   
"Department for Children, Schools and Families",Partnerships for Schools,Operational Goods,Non-Catering Vending Machines, £-   
"Department for Children, Schools and Families",Partnerships for Schools,Operational Goods,Uncategorised, £-   
"Department for Children, Schools and Families",Partnerships for Schools,Engineering Goods,Industrial, £-   
"Department for Children, Schools and Families",Partnerships for Schools,Engineering Goods,Non-Medical Chemicals, £-   
"Department for Children, Schools and Families",Partnerships for Schools,Engineering Goods,Tools, £-   
"Department for Children, Schools and Families",Partnerships for Schools,Engineering Goods,Uncategorised, £-   
"Department for Children, Schools and Families",Partnerships for Schools,Waste Management,Waste Management Materials, £-   
"Department for Children, Schools and Families",Partnerships for Schools,Waste Management,Waste Management Services, £-   
"Department for Children, Schools and Families",Partnerships for Schools,Waste Management,Uncategorised, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Other,Clinical Support Services, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Other,Environmental Services, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Other,Financial Services," £40,355 "
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Other,Interpretation & Translation Services, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Other,Learning & Development Services," £36,535 "
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Other,Legal Services, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Other,Operational Services," £133,255 "
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Other,Technical Services," £97,835 "
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Other,Uncategorised, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Temporary Staff,Admin & Clerical," £119,955 "
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Temporary Staff,Interim Managers, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Temporary Staff,Specialist Contractors," £115,677 "
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Temporary Staff,Uncategorised," £51,448 "
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Consultancy,Finance Consultancy," £8,200 "
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Consultancy,"Human Resource, Training & Education Consultancy"," £3,606 "
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Consultancy,IT/IS Consultancy, £200 
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Consultancy,Legal Consultancy," £14,703 "
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Consultancy,Marketing & Communications Consultancy," £368,649 "
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Consultancy,Org & Change Management Consultancy, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Consultancy,PPM Consultancy, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Consultancy,Procurement Consultancy, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Consultancy,Property & Construction Consultancy, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Consultancy,Strategy Consultancy, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Consultancy,Technical Consultancy," £1,394,682 "
"Department for Children, Schools and Families",Schools Foods Trust,Professional Services Consultancy,Uncategorised," £212,140 "
"Department for Children, Schools and Families",Schools Foods Trust,Personnel Related,Events Admissions," £99,652 "
"Department for Children, Schools and Families",Schools Foods Trust,Personnel Related,Staff Childcare, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Personnel Related,Staff Health & Safety, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Personnel Related,Staff Medical Care, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Personnel Related,Staff Relocation, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Personnel Related,Staff Subscriptions," £14,522 "
"Department for Children, Schools and Families",Schools Foods Trust,Personnel Related,Uncategorised, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Social Care,Adult Social Care, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Social Care,Child Social Care, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Social Care,Educational Programmes, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Social Care,Emergency Services, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Social Care,Entertainment Services, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Social Care,Legal Aid, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Social Care,Operation of Custodial Facilities, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Social Care,Transport Provision, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Social Care,Welfare to Work, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Social Care,World Programmes, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Social Care,Uncategorised, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Marketing & Media,Advertising," £313,583 "
"Department for Children, Schools and Families",Schools Foods Trust,Marketing & Media,Marketing," £1,027,296 "
"Department for Children, Schools and Families",Schools Foods Trust,Marketing & Media,Promotion," £1,023,680 "
"Department for Children, Schools and Families",Schools Foods Trust,Marketing & Media,Uncategorised," £107,981 "
"Department for Children, Schools and Families",Schools Foods Trust,Facilities,Accommodation Services, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Facilities,Building Management," £276,463 "
"Department for Children, Schools and Families",Schools Foods Trust,Facilities,Catering," £32,404 "
"Department for Children, Schools and Families",Schools Foods Trust,Facilities,Cleaning, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Facilities,Food," £35,914 "
"Department for Children, Schools and Families",Schools Foods Trust,Facilities,Office Furniture," £3,281 "
"Department for Children, Schools and Families",Schools Foods Trust,Facilities,Security, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Facilities,Uncategorised, £234 
"Department for Children, Schools and Families",Schools Foods Trust,Clinical & Medical,Drugs & Biologicals, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Clinical & Medical,Medical & Surgical Consumables, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Clinical & Medical,Medical & Surgical Equipment, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Clinical & Medical,Pathology, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Clinical & Medical,Patients Appliances, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Clinical & Medical,Radiological & Diagnostic, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Clinical & Medical,Uncategorised, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Office Solutions,Office Consumables," £3,003 "
"Department for Children, Schools and Families",Schools Foods Trust,Office Solutions,Office Machines," £2,018 "
"Department for Children, Schools and Families",Schools Foods Trust,Office Solutions,Office Services, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Office Solutions,Office Supplies," £28,028 "
"Department for Children, Schools and Families",Schools Foods Trust,Office Solutions,Post & Courier," £45,520 "
"Department for Children, Schools and Families",Schools Foods Trust,Office Solutions,Print," £175,344 "
"Department for Children, Schools and Families",Schools Foods Trust,Office Solutions,Records Storage," £13,834 "
"Department for Children, Schools and Families",Schools Foods Trust,Office Solutions,Reprographics," £3,149 "
"Department for Children, Schools and Families",Schools Foods Trust,Office Solutions,Uncategorised," £22,435 "
"Department for Children, Schools and Families",Schools Foods Trust,Construction,Building Repair & Maintenance, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Construction,Construction Service Providers, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Construction,Construction Supplies, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Construction,Design & Build, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Construction,Main Contractors, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Construction,Prime Contractors, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Construction,Uncategorised, £-   
"Department for Children, Schools and Families",Schools Foods Trust,ICT,Hardware," £15,455 "
"Department for Children, Schools and Families",Schools Foods Trust,ICT,Maintenance & Support," £139,859 "
"Department for Children, Schools and Families",Schools Foods Trust,ICT,Managed / Outsourced Services, £-   
"Department for Children, Schools and Families",Schools Foods Trust,ICT,Networking, £-   
"Department for Children, Schools and Families",Schools Foods Trust,ICT,Software," £65,421 "
"Department for Children, Schools and Families",Schools Foods Trust,ICT,Systems Delivery," £415,711 "
"Department for Children, Schools and Families",Schools Foods Trust,ICT,Telecoms," £29,260 "
"Department for Children, Schools and Families",Schools Foods Trust,ICT,Uncategorised, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Logistics,Transport, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Logistics,Warehousing & Storage, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Logistics,Uncategorised, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Travel,Air, £614 
"Department for Children, Schools and Families",Schools Foods Trust,Travel,Booking Services, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Travel,Coach, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Travel,Events Organisation," £204,732 "
"Department for Children, Schools and Families",Schools Foods Trust,Travel,Ferry, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Travel,Hotels," £80,625 "
"Department for Children, Schools and Families",Schools Foods Trust,Travel,Rail," £234,849 "
"Department for Children, Schools and Families",Schools Foods Trust,Travel,Taxi," £37,709 "
"Department for Children, Schools and Families",Schools Foods Trust,Travel,Vehicle Hire," £35,537 "
"Department for Children, Schools and Families",Schools Foods Trust,Travel,Uncategorised," £31,559 "
"Department for Children, Schools and Families",Schools Foods Trust,Defence,Airborne Goods and Services, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Defence,Marine Goods and Services, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Defence,Military Systems, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Defence,Munitions, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Defence,Wheeled / Tracked Goods and Services, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Defence,Uncategorised, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Energy & Utilities,Electricity, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Energy & Utilities,Gas, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Energy & Utilities,Solid Fuels, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Energy & Utilities,Water, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Energy & Utilities,Uncategorised, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Fuels Lubricants & Gases,Fuels, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Fuels Lubricants & Gases,Gases, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Fuels Lubricants & Gases,Lubricants, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Fuels Lubricants & Gases,Uncategorised, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Vehicles,Fleet Management, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Vehicles,Leasing, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Vehicles,Purchase, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Vehicles,Vehicle Disposal, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Vehicles,Vehicle Maintenance, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Vehicles,Uncategorised, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Operational Goods,Animal Related Goods, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Operational Goods,Art & Exhibits, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Operational Goods,Clothing, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Operational Goods,Domestic Goods, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Operational Goods,Environmental Materials, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Operational Goods,Learning & Development Materials," £81,371 "
"Department for Children, Schools and Families",Schools Foods Trust,Operational Goods,Non-Catering Vending Machines, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Operational Goods,Uncategorised, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Engineering Goods,Industrial, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Engineering Goods,Non-Medical Chemicals, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Engineering Goods,Tools, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Engineering Goods,Uncategorised, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Waste Management,Waste Management Materials, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Waste Management,Waste Management Services, £-   
"Department for Children, Schools and Families",Schools Foods Trust,Waste Management,Uncategorised, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Other,Clinical Support Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Other,Environmental Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Other,Financial Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Other,Interpretation & Translation Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Other,Learning & Development Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Other,Legal Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Other,Operational Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Other,Technical Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Other,Uncategorised, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Temporary Staff,Admin & Clerical, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Temporary Staff,Interim Managers, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Temporary Staff,Specialist Contractors, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Temporary Staff,Uncategorised," £2,753,455 "
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Consultancy,Finance Consultancy," £233,524 "
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Consultancy,"Human Resource, Training & Education Consultancy"," £1,219,374 "
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Consultancy,IT/IS Consultancy, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Consultancy,Legal Consultancy," £138,174 "
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Consultancy,Marketing & Communications Consultancy, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Consultancy,Org & Change Management Consultancy, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Consultancy,PPM Consultancy," £28,429,407 "
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Consultancy,Procurement Consultancy, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Consultancy,Property & Construction Consultancy, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Consultancy,Strategy Consultancy," £1,965,551 "
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Consultancy,Technical Consultancy, £-   
"Department for Children, Schools and Families",Training & Development Agency,Professional Services Consultancy,Uncategorised, £-   
"Department for Children, Schools and Families",Training & Development Agency,Personnel Related,Events Admissions, £447 
"Department for Children, Schools and Families",Training & Development Agency,Personnel Related,Staff Childcare," £1,111 "
"Department for Children, Schools and Families",Training & Development Agency,Personnel Related,Staff Health & Safety," £11,928 "
"Department for Children, Schools and Families",Training & Development Agency,Personnel Related,Staff Medical Care, £-   
"Department for Children, Schools and Families",Training & Development Agency,Personnel Related,Staff Relocation, £-   
"Department for Children, Schools and Families",Training & Development Agency,Personnel Related,Staff Subscriptions, £-   
"Department for Children, Schools and Families",Training & Development Agency,Personnel Related,Uncategorised," £94,995 "
"Department for Children, Schools and Families",Training & Development Agency,Social Care,Adult Social Care, £-   
"Department for Children, Schools and Families",Training & Development Agency,Social Care,Child Social Care, £-   
"Department for Children, Schools and Families",Training & Development Agency,Social Care,Educational Programmes, £-   
"Department for Children, Schools and Families",Training & Development Agency,Social Care,Emergency Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Social Care,Entertainment Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Social Care,Legal Aid, £-   
"Department for Children, Schools and Families",Training & Development Agency,Social Care,Operation of Custodial Facilities, £-   
"Department for Children, Schools and Families",Training & Development Agency,Social Care,Transport Provision, £-   
"Department for Children, Schools and Families",Training & Development Agency,Social Care,Welfare to Work, £-   
"Department for Children, Schools and Families",Training & Development Agency,Social Care,World Programmes, £-   
"Department for Children, Schools and Families",Training & Development Agency,Social Care,Uncategorised, £-   
"Department for Children, Schools and Families",Training & Development Agency,Marketing & Media,Advertising, £-   
"Department for Children, Schools and Families",Training & Development Agency,Marketing & Media,Marketing, £-   
"Department for Children, Schools and Families",Training & Development Agency,Marketing & Media,Promotion, £-   
"Department for Children, Schools and Families",Training & Development Agency,Marketing & Media,Uncategorised," £16,115,343 "
"Department for Children, Schools and Families",Training & Development Agency,Facilities,Accommodation Services," £3,269,109 "
"Department for Children, Schools and Families",Training & Development Agency,Facilities,Building Management, £-   
"Department for Children, Schools and Families",Training & Development Agency,Facilities,Catering," £26,580 "
"Department for Children, Schools and Families",Training & Development Agency,Facilities,Cleaning," £76,740 "
"Department for Children, Schools and Families",Training & Development Agency,Facilities,Food, £-   
"Department for Children, Schools and Families",Training & Development Agency,Facilities,Office Furniture," £39,950 "
"Department for Children, Schools and Families",Training & Development Agency,Facilities,Security, £-   
"Department for Children, Schools and Families",Training & Development Agency,Facilities,Uncategorised," £1,471,258 "
"Department for Children, Schools and Families",Training & Development Agency,Clinical & Medical,Drugs & Biologicals, £-   
"Department for Children, Schools and Families",Training & Development Agency,Clinical & Medical,Medical & Surgical Consumables, £-   
"Department for Children, Schools and Families",Training & Development Agency,Clinical & Medical,Medical & Surgical Equipment, £-   
"Department for Children, Schools and Families",Training & Development Agency,Clinical & Medical,Pathology, £-   
"Department for Children, Schools and Families",Training & Development Agency,Clinical & Medical,Patients Appliances, £-   
"Department for Children, Schools and Families",Training & Development Agency,Clinical & Medical,Radiological & Diagnostic, £-   
"Department for Children, Schools and Families",Training & Development Agency,Clinical & Medical,Uncategorised, £-   
"Department for Children, Schools and Families",Training & Development Agency,Office Solutions,Office Consumables," £68,081 "
"Department for Children, Schools and Families",Training & Development Agency,Office Solutions,Office Machines, £-   
"Department for Children, Schools and Families",Training & Development Agency,Office Solutions,Office Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Office Solutions,Office Supplies, £-   
"Department for Children, Schools and Families",Training & Development Agency,Office Solutions,Post & Courier," £19,185 "
"Department for Children, Schools and Families",Training & Development Agency,Office Solutions,Print, £-   
"Department for Children, Schools and Families",Training & Development Agency,Office Solutions,Records Storage, £-   
"Department for Children, Schools and Families",Training & Development Agency,Office Solutions,Reprographics," £472,366 "
"Department for Children, Schools and Families",Training & Development Agency,Office Solutions,Uncategorised, £-   
"Department for Children, Schools and Families",Training & Development Agency,Construction,Building Repair & Maintenance," £40,110 "
"Department for Children, Schools and Families",Training & Development Agency,Construction,Construction Service Providers, £-   
"Department for Children, Schools and Families",Training & Development Agency,Construction,Construction Supplies, £-   
"Department for Children, Schools and Families",Training & Development Agency,Construction,Design & Build, £-   
"Department for Children, Schools and Families",Training & Development Agency,Construction,Main Contractors, £-   
"Department for Children, Schools and Families",Training & Development Agency,Construction,Prime Contractors, £-   
"Department for Children, Schools and Families",Training & Development Agency,Construction,Uncategorised, £-   
"Department for Children, Schools and Families",Training & Development Agency,ICT,Hardware, £-   
"Department for Children, Schools and Families",Training & Development Agency,ICT,Maintenance & Support," £155,763 "
"Department for Children, Schools and Families",Training & Development Agency,ICT,Managed / Outsourced Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,ICT,Networking, £-   
"Department for Children, Schools and Families",Training & Development Agency,ICT,Software, £-   
"Department for Children, Schools and Families",Training & Development Agency,ICT,Systems Delivery, £-   
"Department for Children, Schools and Families",Training & Development Agency,ICT,Telecoms," £21,164 "
"Department for Children, Schools and Families",Training & Development Agency,ICT,Uncategorised," £1,441,546 "
"Department for Children, Schools and Families",Training & Development Agency,Logistics,Transport, £-   
"Department for Children, Schools and Families",Training & Development Agency,Logistics,Warehousing & Storage, £-   
"Department for Children, Schools and Families",Training & Development Agency,Logistics,Uncategorised, £-   
"Department for Children, Schools and Families",Training & Development Agency,Travel,Air," £2,740 "
"Department for Children, Schools and Families",Training & Development Agency,Travel,Booking Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Travel,Coach, £-   
"Department for Children, Schools and Families",Training & Development Agency,Travel,Events Organisation, £-   
"Department for Children, Schools and Families",Training & Development Agency,Travel,Ferry, £-   
"Department for Children, Schools and Families",Training & Development Agency,Travel,Hotels, £-   
"Department for Children, Schools and Families",Training & Development Agency,Travel,Rail," £59,789 "
"Department for Children, Schools and Families",Training & Development Agency,Travel,Taxi, £-   
"Department for Children, Schools and Families",Training & Development Agency,Travel,Vehicle Hire, £-   
"Department for Children, Schools and Families",Training & Development Agency,Travel,Uncategorised," £35,386 "
"Department for Children, Schools and Families",Training & Development Agency,Defence,Airborne Goods and Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Defence,Marine Goods and Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Defence,Military Systems, £-   
"Department for Children, Schools and Families",Training & Development Agency,Defence,Munitions, £-   
"Department for Children, Schools and Families",Training & Development Agency,Defence,Wheeled / Tracked Goods and Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Defence,Uncategorised, £-   
"Department for Children, Schools and Families",Training & Development Agency,Energy & Utilities,Electricity," £116,859 "
"Department for Children, Schools and Families",Training & Development Agency,Energy & Utilities,Gas, £-   
"Department for Children, Schools and Families",Training & Development Agency,Energy & Utilities,Solid Fuels, £-   
"Department for Children, Schools and Families",Training & Development Agency,Energy & Utilities,Water, £-   
"Department for Children, Schools and Families",Training & Development Agency,Energy & Utilities,Uncategorised, £-   
"Department for Children, Schools and Families",Training & Development Agency,Fuels Lubricants & Gases,Fuels, £-   
"Department for Children, Schools and Families",Training & Development Agency,Fuels Lubricants & Gases,Gases, £-   
"Department for Children, Schools and Families",Training & Development Agency,Fuels Lubricants & Gases,Lubricants, £-   
"Department for Children, Schools and Families",Training & Development Agency,Fuels Lubricants & Gases,Uncategorised, £-   
"Department for Children, Schools and Families",Training & Development Agency,Vehicles,Fleet Management, £-   
"Department for Children, Schools and Families",Training & Development Agency,Vehicles,Leasing, £-   
"Department for Children, Schools and Families",Training & Development Agency,Vehicles,Purchase, £-   
"Department for Children, Schools and Families",Training & Development Agency,Vehicles,Vehicle Disposal, £-   
"Department for Children, Schools and Families",Training & Development Agency,Vehicles,Vehicle Maintenance, £-   
"Department for Children, Schools and Families",Training & Development Agency,Vehicles,Uncategorised, £-   
"Department for Children, Schools and Families",Training & Development Agency,Operational Goods,Animal Related Goods, £-   
"Department for Children, Schools and Families",Training & Development Agency,Operational Goods,Art & Exhibits, £-   
"Department for Children, Schools and Families",Training & Development Agency,Operational Goods,Clothing, £-   
"Department for Children, Schools and Families",Training & Development Agency,Operational Goods,Domestic Goods, £-   
"Department for Children, Schools and Families",Training & Development Agency,Operational Goods,Environmental Materials, £-   
"Department for Children, Schools and Families",Training & Development Agency,Operational Goods,Learning & Development Materials, £-   
"Department for Children, Schools and Families",Training & Development Agency,Operational Goods,Non-Catering Vending Machines, £-   
"Department for Children, Schools and Families",Training & Development Agency,Operational Goods,Uncategorised, £-   
"Department for Children, Schools and Families",Training & Development Agency,Engineering Goods,Industrial, £-   
"Department for Children, Schools and Families",Training & Development Agency,Engineering Goods,Non-Medical Chemicals, £-   
"Department for Children, Schools and Families",Training & Development Agency,Engineering Goods,Tools, £-   
"Department for Children, Schools and Families",Training & Development Agency,Engineering Goods,Uncategorised, £-   
"Department for Children, Schools and Families",Training & Development Agency,Waste Management,Waste Management Materials, £-   
"Department for Children, Schools and Families",Training & Development Agency,Waste Management,Waste Management Services, £-   
"Department for Children, Schools and Families",Training & Development Agency,Waste Management,Uncategorised, £-   
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Other,Clinical Support Services," £19,350 "
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Other,Environmental Services," £25,600 "
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Other,Financial Services," £1,992,048 "
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Other,Interpretation & Translation Services," £15,602 "
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Other,Learning & Development Services," £992,416 "
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Other,Legal Services, £-   
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Other,Operational Services," £135,783 "
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Other,Technical Services, £-   
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Other,Uncategorised, £-   
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Temporary Staff,Admin & Clerical," £3,388,447 "
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Temporary Staff,Interim Managers, £-   
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Temporary Staff,Specialist Contractors," £115,687 "
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Temporary Staff,Uncategorised, £-   
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Consultancy,Finance Consultancy," £56,147 "
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Consultancy,"Human Resource, Training & Education Consultancy"," £216,943 "
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Consultancy,IT/IS Consultancy," £651,594 "
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Consultancy,Legal Consultancy," £363,684 "
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Consultancy,Marketing & Communications Consultancy, £-   
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Consultancy,Org & Change Management Consultancy, £-   
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Consultancy,PPM Consultancy," £8,658 "
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Consultancy,Procurement Consultancy, £-   
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Consultancy,Property & Construction Consultancy," £827,580 "
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Consultancy,Strategy Consultancy," £3,114,602 "
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Consultancy,Technical Consultancy, £-   
"Department for Culture, Media and Sport",Arts Council of England,Professional Services Consultancy,Uncategorised, £-   
"Department for Culture, Media and Sport",Arts Council of England,Personnel Related,Events Admissions," £113,115 "
"Department for Culture, Media and Sport",Arts Council of England,Personnel Related,Staff Childcare, £-   
"Department for Culture, Media and Sport",Arts Council of England,Personnel Related,Staff Health & Safety," £2,842 "
"Department for Culture, Media and Sport",Arts Council of England,Personnel Related,Staff Medical Care, £-   
"Department for Culture, Media and Sport",Arts Council of England,Personnel Related,Staff Relocation, £-   
"Department for Culture, Media and Sport",Arts Council of England,Personnel Related,Staff Subscriptions, £-   
"Department for Culture, Media and Sport",Arts Council of England,Personnel Related,Uncategorised, £-   
"Department for Culture, Media and Sport",Arts Council of England,Social Care,Adult Social Care," £93,403 "
"Department for Culture, Media and Sport",Arts Council of England,Social Care,Child Social Care," £5,890 "
"Department for Culture, Media and Sport",Arts Council of England,Social Care,Educational Programmes, £-   
"Department for Culture, Media and Sport",Arts Council of England,Social Care,Emergency Services," £7,041 "
"Department for Culture, Media and Sport",Arts Council of England,Social Care,Entertainment Services," £537,111 "
"Department for Culture, Media and Sport",Arts Council of England,Social Care,Legal Aid, £-   
"Department for Culture, Media and Sport",Arts Council of England,Social Care,Operation of Custodial Facilities, £-   
"Department for Culture, Media and Sport",Arts Council of England,Social Care,Transport Provision," £2,737 "
